Trait,Model,SNPs,R2,RMSE,PearsonR,Source
yield,CNN,100,0.2255,45.4364,0.4925,res/cnn/yield/results.txt
yield,CNN,7000,0.2274,45.381,0.5651,res/cnn/yield/results.txt
yield,CNN,1000,0.3281,42.3184,0.6128,res/cnn/yield/results.txt
yield,CNN,3000,0.2691,44.1397,0.5581,res/cnn/yield/results.txt
yield,CNN,5000,0.1765,46.85,0.4615,res/cnn/yield/results.txt
lodging,CNN,100,0.3985,0.4452,0.6483,res/cnn/lodging/results.txt
lodging,CNN,7000,0.5497,0.3852,0.7548,res/cnn/lodging/results.txt
lodging,CNN,1000,0.5927,0.3663,0.7733,res/cnn/lodging/results.txt
lodging,CNN,3000,0.5576,0.3818,0.7565,res/cnn/lodging/results.txt
lodging,CNN,5000,0.5012,0.4054,0.7373,res/cnn/lodging/results.txt
