Trait,Model,SNPs,R2,RMSE,PearsonR,Source
yield,LightGBM,100,0.1980,46.2363,0.4704,res/base/yield/results.txt
yield,Lasso,100,0.2132,45.7964,0.4637,res/base/yield/results.txt
yield,RandomForest,7000,0.3417,41.8895,0.5922,res/base/yield/results.txt
yield,XGBoost,7000,0.3941,40.1873,0.6291,res/base/yield/results.txt
yield,LightGBM,7000,0.3914,40.2761,0.6264,res/base/yield/results.txt
yield,Lasso,7000,0.4181,39.3822,0.6510,res/base/yield/results.txt
yield,RandomForest,1000,0.3570,41.3982,0.5997,res/base/yield/results.txt
yield,XGBoost,1000,0.3268,42.3590,0.6366,res/base/yield/results.txt
yield,LightGBM,1000,0.4035,39.8747,0.6364,res/base/yield/results.txt
yield,Lasso,1000,0.3829,40.5564,0.6241,res/base/yield/results.txt
yield,RandomForest,3000,0.3518,41.5670,0.5959,res/base/yield/results.txt
yield,XGBoost,3000,0.3142,42.7551,0.6249,res/base/yield/results.txt
yield,LightGBM,3000,0.3281,42.3182,0.6220,res/base/yield/results.txt
yield,Lasso,3000,0.3899,40.3278,0.6282,res/base/yield/results.txt
yield,RandomForest,5000,0.3517,41.5701,0.5989,res/base/yield/results.txt
yield,XGBoost,5000,0.3041,43.0694,0.6314,res/base/yield/results.txt
yield,LightGBM,5000,0.4302,38.9706,0.6568,res/base/yield/results.txt
yield,Lasso,5000,0.4117,39.6003,0.6461,res/base/yield/results.txt
lodging,RandomForest,100,0.4141,0.4394,0.6459,res/base/lodging/results.txt
lodging,XGBoost,100,0.3764,0.4533,0.6546,res/base/lodging/results.txt
lodging,LightGBM,100,0.3940,0.4469,0.6407,res/base/lodging/results.txt
lodging,Lasso,100,0.4330,0.4322,0.6604,res/base/lodging/results.txt
lodging,RandomForest,7000,0.5736,0.3748,0.7705,res/base/lodging/results.txt
lodging,XGBoost,7000,0.4752,0.4158,0.7728,res/base/lodging/results.txt
lodging,LightGBM,7000,0.5114,0.4012,0.7753,res/base/lodging/results.txt
lodging,Lasso,7000,0.6136,0.3568,0.7879,res/base/lodging/results.txt
lodging,RandomForest,1000,0.5659,0.3782,0.7632,res/base/lodging/results.txt
lodging,XGBoost,1000,0.4650,0.4199,0.7614,res/base/lodging/results.txt
lodging,LightGBM,1000,0.4607,0.4215,0.7486,res/base/lodging/results.txt
lodging,Lasso,1000,0.5857,0.3695,0.7688,res/base/lodging/results.txt
lodging,RandomForest,3000,0.5887,0.3681,0.7795,res/base/lodging/results.txt
lodging,XGBoost,3000,0.4804,0.4138,0.7771,res/base/lodging/results.txt
lodging,LightGBM,3000,0.6135,0.3569,0.7867,res/base/lodging/results.txt
lodging,Lasso,3000,0.6224,0.3527,0.7931,res/base/lodging/results.txt
lodging,RandomForest,5000,0.5787,0.3726,0.7727,res/base/lodging/results.txt
lodging,XGBoost,5000,0.5239,0.3961,0.8023,res/base/lodging/results.txt
lodging,LightGBM,5000,0.5174,0.3988,0.7834,res/base/lodging/results.txt
lodging,Lasso,5000,0.6263,0.3509,0.7950,res/base/lodging/results.txt
